研究室ID,研究室名,1位(%),2位(%),3位(%),4位(%),5位(%),6位(%),7位(%),8位(%),9位(%),10位(%),11位(%),12位(%),13位(%),14位(%),15位(%),16位(%),17位(%),18位(%),19位(%),20位(%)
lab_020,山北ゼミ,9.43,5.80,4.67,4.15,3.93,3.41,3.06,3.19,3.31,2.80,2.69,2.67,2.54,2.68,2.31,2.72,2.46,2.60,2.41,2.39
lab_015,綿谷ゼミ,7.78,6.16,5.63,5.05,4.65,4.33,3.89,3.46,3.61,3.43,3.48,3.25,2.88,3.11,2.88,2.75,2.82,2.82,2.38,2.35
lab_009,甫喜本ゼミ,6.24,6.55,6.08,4.81,4.23,4.22,3.74,3.71,3.39,3.26,3.14,2.89,2.71,3.08,2.41,3.00,2.72,2.64,2.49,2.64
lab_010,金ゼミ ,6.00,5.41,5.29,5.35,4.52,4.42,4.03,3.88,3.91,3.86,3.82,3.37,3.47,3.30,3.22,3.16,3.10,2.98,2.98,2.67
lab_005,飯嶋 ゼミ,5.65,3.94,3.92,3.23,3.21,3.17,2.95,2.92,2.73,2.98,2.91,3.00,2.61,3.03,2.83,2.73,2.70,2.69,2.95,2.57
lab_017,三浦ゼミ,5.64,4.73,4.11,3.69,3.11,3.27,3.24,2.71,2.75,2.86,2.68,2.61,2.40,2.31,2.46,2.27,2.55,2.48,2.47,2.57
lab_012,齋藤健司ゼミ,5.19,5.51,5.49,5.79,4.97,4.67,5.02,4.26,4.22,4.52,3.38,3.63,3.77,3.52,3.50,3.70,3.13,3.51,3.02,2.52
lab_022,松井ゼミ,4.51,4.11,3.46,3.09,2.98,2.76,2.66,2.59,2.49,2.48,2.23,2.35,2.30,2.28,2.29,2.16,2.15,2.58,2.11,2.19
lab_019,藤原ゼミ,4.31,5.37,5.12,5.04,4.61,4.94,4.89,4.48,4.09,3.99,3.76,3.84,3.54,4.04,3.30,3.33,3.61,3.41,3.24,3.05
lab_023,平山ゼミ,4.25,4.06,3.86,4.37,3.87,4.35,3.94,3.68,4.06,3.88,3.61,3.43,3.92,3.68,3.80,3.69,3.26,3.42,3.29,3.78
lab_024,守 ゼミ,4.24,4.52,4.63,4.91,4.94,4.52,4.28,3.99,3.70,4.09,3.81,3.75,3.81,3.80,3.74,3.24,3.07,3.13,2.77,3.08
lab_004,広奥ゼミ,3.63,3.21,3.38,3.41,3.51,3.42,3.55,3.68,3.43,3.48,3.75,3.61,3.86,3.24,3.67,3.05,3.35,3.30,3.40,3.30
lab_001,坂本 ゼミ,3.53,3.52,3.47,3.37,3.81,3.65,3.74,3.72,3.69,3.68,3.47,3.74,3.68,3.80,3.68,3.47,3.70,3.33,3.53,3.66
lab_028,新井山ゼミ,3.21,3.52,3.59,3.84,3.70,3.68,3.51,3.67,3.61,3.42,3.33,3.07,3.22,3.73,3.16,3.02,3.21,2.99,2.84,3.01
lab_006,向田ゼミ,3.05,2.52,2.30,2.49,2.52,2.41,2.78,2.74,2.84,3.09,2.71,3.04,3.07,3.32,3.55,3.57,3.24,3.33,3.68,3.29
lab_026,柿並ゼミ,2.80,3.30,3.91,3.27,3.92,4.04,4.05,3.90,3.50,3.56,4.17,3.72,3.73,3.39,3.46,3.90,3.52,3.46,3.47,3.63
lab_025,伊藤マーティゼミ,2.68,2.94,3.18,3.38,3.82,3.47,3.83,3.55,3.86,3.53,3.90,3.71,3.48,3.60,3.39,3.66,3.90,3.41,3.26,3.50
lab_016,大島ゼミ,2.42,3.55,3.39,3.66,3.50,3.48,3.52,3.79,3.64,3.73,3.58,3.38,3.98,3.97,3.64,3.75,3.49,3.72,3.75,3.77
lab_013,谷口ゼミ,2.33,3.09,2.97,3.22,3.61,3.17,3.49,3.68,3.59,3.42,3.30,3.06,3.46,2.97,2.77,3.01,3.06,3.20,3.14,2.67
lab_021,河原ゼミ,2.17,3.34,3.66,3.73,4.17,4.32,3.67,4.20,4.53,3.86,3.82,3.73,3.70,3.81,3.99,3.76,3.93,3.76,3.98,3.71
lab_027,佐々木ゼミ,1.67,2.21,3.10,2.98,3.08,3.33,3.58,3.76,3.93,3.84,4.13,4.01,3.57,3.66,3.63,3.71,3.52,3.51,3.89,3.79
lab_011,辻ゼミ,1.43,1.99,1.93,2.11,2.51,2.90,2.46,2.79,2.96,3.21,3.34,3.01,3.40,3.25,3.67,3.53,3.58,3.60,3.44,4.04
lab_014,隼田ゼミ,1.35,1.71,2.04,2.81,2.54,2.85,3.05,3.27,3.09,3.38,3.02,3.54,3.23,3.45,3.62,3.19,3.65,3.53,3.52,3.46
lab_007,安田ゼミ,1.17,1.63,1.61,1.74,2.04,2.09,2.78,2.65,2.36,2.59,3.01,3.32,2.91,3.19,3.04,3.44,3.24,3.07,3.48,3.59
lab_031,湯村ゼミ,1.10,1.13,1.57,1.38,1.71,1.92,2.22,2.11,2.09,2.35,2.66,2.55,3.15,2.92,2.99,2.78,3.13,3.24,3.47,3.37
lab_002,伊藤 正彦ゼミ,1.01,0.88,1.13,1.63,1.63,1.76,1.81,2.08,2.28,2.24,2.74,2.64,2.89,2.68,3.18,3.20,3.12,3.63,3.45,3.44
lab_003,斎藤 一 ゼミ,0.84,1.05,1.27,1.48,1.96,1.94,2.04,2.17,2.43,2.52,2.87,2.93,3.02,2.90,3.03,3.14,3.55,3.48,3.58,3.77
lab_008,森川ゼミ,0.79,0.97,1.07,1.48,1.63,1.76,1.82,2.28,2.31,2.60,2.49,3.06,2.74,2.63,3.02,3.38,3.29,3.41,3.56,3.95
lab_018,近澤ゼミ,0.73,1.64,1.99,2.10,2.42,2.35,2.74,2.98,3.05,2.98,3.48,3.55,3.07,3.05,3.61,3.56,3.70,3.32,3.42,3.61
lab_029,杉澤ゼミ,0.49,0.91,1.29,1.30,1.65,1.88,1.96,2.30,2.61,2.35,2.57,3.06,3.26,3.02,3.21,3.38,3.23,3.51,3.53,3.60
lab_030,島田ゼミ,0.36,0.73,0.89,1.14,1.25,1.52,1.70,1.81,1.94,2.02,2.15,2.48,2.63,2.59,2.95,2.75,3.02,2.94,3.50,3.03
