研究室ID,研究室名,TOP1確率(%),TOP3確率(%),TOP5確率(%),TOP10確率(%),平均順位
lab_020,山北ゼミ,9.43,19.90,27.98,43.75,14.08
lab_015,綿谷ゼミ,7.78,19.57,29.27,47.99,12.61
lab_009,甫喜本ゼミ,6.24,18.87,27.91,46.23,13.20
lab_010,金ゼミ ,6.00,16.70,26.57,46.67,12.57
lab_005,飯嶋 ゼミ,5.65,13.51,19.95,34.70,16.01
lab_017,三浦ゼミ,5.64,14.48,21.28,36.11,16.17
lab_012,齋藤健司ゼミ,5.19,16.19,26.95,49.64,11.80
lab_022,松井ゼミ,4.51,12.08,18.15,31.13,17.88
lab_019,藤原ゼミ,4.31,14.80,24.45,46.84,12.27
lab_023,平山ゼミ,4.25,12.17,20.41,40.32,13.58
lab_024,守 ゼミ,4.24,13.39,23.24,43.82,12.97
lab_004,広奥ゼミ,3.63,10.22,17.14,34.70,15.14
lab_001,坂本 ゼミ,3.53,10.52,17.70,36.18,14.50
lab_028,新井山ゼミ,3.21,10.32,17.86,35.75,15.30
lab_006,向田ゼミ,3.05,7.87,12.88,26.74,17.24
lab_026,柿並ゼミ,2.80,10.01,17.20,36.25,14.45
lab_025,伊藤マーティゼミ,2.68,8.80,16.00,34.24,14.96
lab_016,大島ゼミ,2.42,9.36,16.52,34.68,14.69
lab_013,谷口ゼミ,2.33,8.39,15.22,32.57,16.25
lab_021,河原ゼミ,2.17,9.17,17.07,37.65,13.96
lab_027,佐々木ゼミ,1.67,6.98,13.04,31.48,15.45
lab_011,辻ゼミ,1.43,5.35,9.97,24.29,17.54
lab_014,隼田ゼミ,1.35,5.10,10.45,26.09,17.13
lab_007,安田ゼミ,1.17,4.41,8.19,20.66,18.65
lab_031,湯村ゼミ,1.10,3.80,6.89,17.58,19.82
lab_002,伊藤 正彦ゼミ,1.01,3.02,6.28,16.45,19.97
lab_003,斎藤 一 ゼミ,0.84,3.16,6.60,17.70,19.44
lab_008,森川ゼミ,0.79,2.83,5.94,16.71,19.84
lab_018,近澤ゼミ,0.73,4.36,8.88,22.98,17.74
lab_029,杉澤ゼミ,0.49,2.69,5.64,16.74,19.64
lab_030,島田ゼミ,0.36,1.98,4.37,13.36,21.15
