パラメータ,影響度,最適値,最適スコア,1位獲得境界,1位喪失境界,遷移点数
publication_opportunity,0.11883526136665656,9.081632653061225,0.6454376690951011,,,7
lab_atmosphere,0.11883526136665656,9.081632653061225,0.6454376690951011,,,1
research_intensity,0.11672911872377811,8.16326530612245,0.6347576190534661,,,5
workload,0.11672911872377811,8.16326530612245,0.6347576190534661,,,5
communication_style,0.11672911872377811,8.16326530612245,0.6347576190534661,,,1
skill_development,0.11672911872377811,8.16326530612245,0.6347576190534661,,,1
interdisciplinary,0.11224922351584077,7.244897959183674,0.6228515105910002,,,2
advisor_style,0.11224922351584055,7.244897959183674,0.622851510591,,,2
team_work,0.11224922351584055,7.244897959183674,0.622851510591,,,2
theory_practice,0.11224922351584055,7.244897959183674,0.622851510591,,,6
flexibility,0.10386490919305436,6.326530612244898,0.6122326965225475,,,5
research_field_match,0.09043889002948946,5.408163265306123,0.6053760769162189,,,0
